Address,Bedroom_Number,Price,Distance
"2 Ware St, Cambridge, MA",2,1000.0,0.7572186497126258
" 80 Fawcett St, Cambridge, MA",1,2190.0,1.9904845519091767
" 80 Fawcett St, Cambridge, MA",1,2110.0,1.9904845519091767
" 80 Fawcett St, Cambridge, MA",2,1498.0,1.9904845519091767
"1 Aberdeen Way, Cambridge, MA",1,2700.0,1.2704061052699314
"1 Aberdeen Way, Cambridge, MA",2,1750.0,1.2704061052699314
" 1200 Massachusetts Ave, Cambridge, MA",1,1350.0,1.9061014379072974
" 1200 Massachusetts Ave, Cambridge, MA",1,1700.0,1.9061014379072974
" 1200 Massachusetts Ave, Cambridge, MA",2,1112.5,1.9061014379072974
" 80 Cambridgepark Dr, Cambridge, MA",1,2232.0,2.03446940706302
" 80 Cambridgepark Dr, Cambridge, MA",1,2382.0,2.03446940706302
" 80 Cambridgepark Dr, Cambridge, MA",2,1276.0,2.03446940706302
"21 Chauncy St, Cambridge, MA",1,1700.0,0.831169307982414
"2353 Massachusetts Ave, Cambridge, MA",2,1025.0,1.9768691545165782
" 345 Franklin St, Cambridge, MA",1,2800.0,0.9948883630519251
" 345 Franklin St, Cambridge, MA",2,1375.0,0.9948883630519251
" 66 Homer Ave, Cambridge, MA",1,1350.0,1.2719633728289312
" 66 Homer Ave, Cambridge, MA",1,1600.0,1.2719633728289312
" 66 Homer Ave, Cambridge, MA",2,950.0,1.2719633728289312
"223 Broadway, Cambridge, MA",1,1900.0,3.2351437703415633
"2 Earhart St, Cambridge, MA",1,2200.0,2.7176059212920127
"2 Earhart St, Cambridge, MA",2,1425.0,2.7176059212920127
"2 Earhart St, Cambridge, MA",3,1133.3333333333333,2.7176059212920127
"212 Hampshire St, Cambridge, MA",1,2500.0,1.394107273160293
"993 Memorial Dr, Cambridge, MA",2,1937.5,0.39048468763613275
"367 Harvard St, Cambridge, MA",5,1380.0,0.6457953486406007
"7 Richard Ave, Cambridge, MA",3,800.0,2.2659686720583667
"119 Sciarappa St #C, Cambridge, MA 02141",3,866.6666666666666,2.3022208365831496
"Marney St, Cambridge, MA 02141",4,750.0,1.902160964866949
"10 Bristol St, Cambridge, MA",2,1250.0,1.810970226773565
"10 Bristol St, Cambridge, MA",3,833.3333333333334,1.810970226773565
"10 Rogers St, Cambridge, MA",1,2200.0,2.5491294626903245
"10 Rogers St, Cambridge, MA",1,2595.0,2.5491294626903245
"10 Rogers St, Cambridge, MA",2,1850.0,2.5491294626903245
"275 Walden St, Cambridge, MA",2,1350.0,1.2783432759798987
"397 Columbia St, Cambridge, MA",2,1200.0,1.663429338740202
"8 Lawrence St #B, Cambridge, MA 02139",1,1450.0,1.1176301985818191
"105 Brookline St, Cambridge, MA 02139",1,1850.0,1.2466387924072766
"Park St, Somerville, MA 02143",2,1100.0,1.3687990066484697
"Putnam Ave, Cambridge, MA 02139",3,833.3333333333334,1.1823126449778256
"401 Broadway, Cambridge, MA 02139",1,1795.0,1.3266338583596844
"10 King Pl, Cambridge, MA",1,2000.0,1.3043818894225718
"10 King Pl, Cambridge, MA",1,2600.0,1.3043818894225718
"10 King Pl, Cambridge, MA",2,1700.0,1.3043818894225718
"Cogswell Ave, Cambridge, MA 02140",1,1850.0,1.600926484044203
" 160 Cambridgepark Dr, Cambridge, MA",1,2410.0,2.1161987271203544
" 160 Cambridgepark Dr, Cambridge, MA",2,1392.5,2.1161987271203544
" Langdon St, Cambridge, MA",1,1995.0,0.8847270212059343
" Langdon St, Cambridge, MA",1,2195.0,0.8847270212059343
" Langdon St, Cambridge, MA",2,1430.0,0.8847270212059343
" 18-26 Chauncy St, Cambridge, MA",1,2045.0,0.8277049183320887
" 18-26 Chauncy St, Cambridge, MA",1,2195.0,0.8277049183320887
" 18-26 Chauncy St, Cambridge, MA",2,1597.5,0.8277049183320887
"30 Langdon St, Cambridge, MA",1,1700.0,0.9156967918625992
"30 Langdon St, Cambridge, MA",1,1900.0,0.9156967918625992
"75 Ames St, Cambridge, MA",1,2890.0,1.9885108130222264
"75 Ames St, Cambridge, MA",1,3790.0,1.9885108130222264
"75 Ames St, Cambridge, MA",2,2345.0,1.9885108130222264
"21 Chester St, Cambridge, MA 02140",1,1330.0,1.8002535892429836
"1194 Massachusetts Ave, Cambridge, MA 02138",1,1415.0,0.641654415105519
"1196 Massachusetts Ave, Cambridge, MA 02138",1,1250.0,0.6402779213706966
"1190 Massachusetts Ave, Cambridge, MA 02138",1,1250.0,0.6444949220642575
"5 Linnaean St, Cambridge, MA",1,2200.0,1.226933143450844
"5 Linnaean St, Cambridge, MA",2,1250.0,1.226933143450844
"1558 Massachusetts Ave, Cambridge, MA",2,1400.0,0.7699269271787236
"4 Eaton St, Cambridge, MA",2,1400.0,1.5096978935388319
"4 Eaton St, Cambridge, MA",4,900.0,1.5096978935388319
"Prescott St, Cambridge, MA 02138",2,1450.0,0.7695184662351044
"Brookline St, Cambridge, MA 02139",3,833.3333333333334,1.3160371410754452
"513 Putnam Ave #B, Cambridge, MA 02139",4,1300.0,1.1823126449778256
"Rindge Ave, Cambridge, MA 02140",3,1066.6666666666667,1.713672478606727
"Massachusetts Ave, Cambridge, MA 02139",1,2100.0,1.2875359039375198
" 60 Brattle St, Cambridge, MA",1,2675.0,0.5140538231021446
" 60 Brattle St, Cambridge, MA",2,1525.0,0.5140538231021446
"40 Harvey St, Cambridge, MA 02140",1,1375.0,2.033449746811546
