Addresses,Prices
"Charles Chauncy Apartments | 1 & 3 Chauncy St, Cambridge, MA","$2,785+ 1 bd$2,885+ 2 bds"
"1576 Cambridge St APT 1, Cambridge, MA 02138","$1,400/mo
Studio1 ba-- sqft"
"14 Dana St #408, Cambridge, MA 02138","$2,600/mo
2 bds1 ba951 sqft"
"1000 Memorial Drive | 1000 Memorial Dr, Cambridge, MA","$3,450 3 bds$4,000 4 bds"
"135 Inman St #5, Cambridge, MA 02139","$2,000/mo
1 bd1 ba521 sqft"
"281 Concord Ave #1L, Cambridge, MA 02138","$4,000/mo
4 bds2 ba1,310 sqft"
"Craigie Cir, Cambridge, MA 02138","$1,875/mo
1 bd1 ba800 sqft"
"(undisclosed Address), Cambridge, MA 02139","$1,650/mo
1 bd1 ba-- sqft"
"(undisclosed Address), Cambridge, MA 02138","$1,900/mo
2 bds1 ba-- sqft"
"Craigie Cir, Cambridge, MA 02138","$2,000/mo
1 bd1 ba800 sqft"
"Wendell St, Cambridge, MA 02138","$1,875/mo
1 bd1 ba-- sqft"
"34 Sparks St #3, Cambridge, MA 02138","$4,000/mo
3 bds3 ba1,200 sqft"
"7 1/2 Centre St APT 32, Cambridge, MA 02139","$2,350/mo
1 bd1 ba945 sqft"
"348 Franklin St, Cambridge, MA","$2,100+ 2 bds"
"570 Franklin St #2, Cambridge, MA 02139","$3,500/mo
2 bds2 ba1,011 sqft"
"1109 Cambridge St #2, Cambridge, MA 02139","$2,200/mo
2 bds1 ba1,100 sqft"
"1 Craigie St #34, Cambridge, MA 02138","$2,000/mo
1 bd1 ba650 sqft"
"6 Craigie Cir #AP37, Cambridge, MA 02138","$1,875/mo
1 bd1 ba-- sqft"
"68 Homer Ave, Cambridge, MA 02138","$1,850/mo
2 bds1 ba850 sqft"
"179 1/2 Harvard St, Cambridge, MA","$2,200+ 2 bds"
"183 Harvard St, Cambridge, MA","$2,200 2 bds$2,900 3 bds"
"Windsor St, Cambridge, MA 02139","$1,900/mo
1 bd1 ba-- sqft"
"19 Chester St, Cambridge, MA 02140","$1,420/mo
Studio1 ba-- sqft"
"30 Upland Rd, Cambridge, MA","$2,150+ 1 bd"
"381 Harvard St, Cambridge, MA","$1,950+ 1 bd"
"29 Pleasant St #2, Cambridge, MA 02139","$2,700/mo
3 bds1 ba1,601 sqft"
"20 7th St UNIT 20, Cambridge, MA 02141","$2,550/mo
2 bds1 ba752 sqft"
"19 Garden St APT 36, Cambridge, MA 02138","$1,725/mo
Studio1 ba-- sqft"
"42 Reed St #1, Cambridge, MA 02140","$2,200/mo
1 bd1 ba620 sqft"
"Massachusetts Ave, Cambridge, MA 02139","$2,645/mo
1 bd1 ba-- sqft"
"295 Harvard St, Cambridge, MA","$2,200+ 1 bd$2,700+ 2 bds"
"15 Kelley St #A, Cambridge, MA 02138","$4,000/mo
4 bds2.5 ba1,600 sqft"
"323 Columbia St, Cambridge, MA","$2,500+ 3 bds"
"375 Broadway, Cambridge, MA","$1,400+ Studio"
"43 Mount Auburn St #1, Cambridge, MA 02138","$1,350/mo
1 bd1 ba550 sqft"
"13 Story St, Cambridge, MA","$2,950 1 bd$2,745+ 2 bds"
"12-16 Ellery St, Cambridge, MA","$2,300+ 2 bds"
"36 Ash St APT 102, Cambridge, MA 02138","$2,600/mo
2 bds1 ba900 sqft"
"17 Marney St #1, Cambridge, MA 02141","$3,600/mo
4 bds1 ba9,999 sqft"
"83 Winter St, Cambridge, MA","$1,950+ 1 bd$2,300+ 2 bds$3,200+ 3 bds"
"85 Winter St #3, Cambridge, MA 02141","$2,300/mo
2 bds1 ba750 sqft"
"305 Cardinal Medeiros Ave, Cambridge, MA","$2,200+ 1 bd"
"19 Putnam Ave #17, Cambridge, MA 02139","$6,500/mo
6 bds2 ba2,000 sqft"
"149 Putnam Ave #402, Cambridge, MA 02139","$2,950/mo
2 bds1.5 ba-- sqft"
"1654 Massachusetts Ave, Cambridge, MA","$2,000+ 1 bd"
"357 Windsor St #2, Cambridge, MA 02141","$1,799/mo
1 bd1 ba700 sqft"
"95 Upland Rd #2, Cambridge, MA 02140","$3,600/mo
4 bds1 ba1,000 sqft"
"7 Story St #B, Cambridge, MA 02138","$6,000/mo
4 bds2 ba1,000 sqft"
"81 6th St, Cambridge, MA 02141","$2,900/mo
2 bds1 ba1,032 sqft"
"195 Binney St, Cambridge, MA 02142","$2,740/mo
Studio1 ba1,300 sqft"
"61 Garfield St, Cambridge, MA 02138","$2,200/mo
1 bd1 ba900 sqft"
"211 Harvard St APT 3, Cambridge, MA 02139","$2,750/mo
2 bds1 ba850 sqft"
"1190 Cambridge St #2, Cambridge, MA 02139","$2,700/mo
3 bds1 ba1,300 sqft"
"6-8 Gilmore St #1, Cambridge, MA 02139","$3,600/mo
3 bds2 ba1,400 sqft"
"219 Green St #2, Cambridge, MA 02139","$2,200/mo
2 bds1 ba800 sqft"
"75 Fayette St #3, Cambridge, MA 02139","$3,400/mo
2 bds1 ba1,200 sqft"
"218 Thorndike St APT 307, Cambridge, MA 02141","$2,200/mo
1 bd1 ba684 sqft"
"9 Chauncy St APT 22, Cambridge, MA 02138","$2,500/mo
2 bds1 ba995 sqft"
"429 Franklin St #1L, Cambridge, MA 02139","$2,250/mo
1 bd1 ba650 sqft"
"11 6th St #1, Cambridge, MA 02141","$1,600/mo
Studio1 ba-- sqft"
"Griswold St, Cambridge, MA 02138","$2,750/mo
2 bds1.5 ba-- sqft"
"354 Broadway #2, Cambridge, MA 02139","$2,300/mo
2 bds1 ba800 sqft"
"9 Magazine St, Cambridge, MA","$1,850+ 1 bd$2,100 2 bds"
"35 Brookford St #1, Cambridge, MA 02140","$1,900/mo
1 bd1 ba660 sqft"
"81 Putnam Ave #1, Cambridge, MA 02139","$2,400/mo
1 bd1 ba700 sqft"
"32 Essex St #1, Cambridge, MA 02139","$2,700/mo
3 bds1 ba1,300 sqft"
"250 Garden St, Cambridge, MA 02138","$1,750/mo
1 bd2 ba700 sqft"
"352 Harvard St, Cambridge, MA","$1,700 1 bd$3,100 2 bds"
"1699 Mass Ave, Cambridge, MA","$2,700 Studio$3,050+ 1 bd"
"1105 Massachusetts Ave, Cambridge, MA","$2,100 1 bd$2,800 2 bds"
"1264 Cambridge St #2, Cambridge, MA 02139","$3,000/mo
3 bds1 ba963 sqft"
"Strawberry Hill Residences at Homer Ave | 62-66 Homer Ave, Cambridge, MA","$1,550+ Studio$1,800 1 bd$2,250+ 2 bds"
"89 Winter St, Cambridge | 89 Winter St, Cambridge, MA","$3,150+ 3 bds"
"71A Dana St #5, Cambridge, MA 02138","$1,700/mo
1 bd1 ba650 sqft"
"1 Pine St, Cambridge, MA 02139","$3,700/mo
2 bds1.5 ba1,800 sqft"
"61 Fayette St, Cambridge, MA","$1,750+ Studio"
"923 Massachusetts Ave, Cambridge, MA 02139","$2,200/mo
2 bds1 ba712 sqft"
"365 Harvard St #1R, Cambridge, MA 02138","$6,000/mo
5 bds3.5 ba9,999 sqft"
"333 Harvard St, Cambridge, MA","$2,750+ 3 bds"
"21 Howard St STE 1, Cambridge, MA 02139","$2,990/mo
2 bds1 ba715 sqft"
"157 Hamilton St #A, Cambridge, MA 02139","$2,200/mo
1 bd1 ba450 sqft"
"6 Lamont Ave #1, Cambridge, MA 02138","$2,950/mo
2 bds1 ba1,000 sqft"
"8 Davenport St | 8 Davenport St, Cambridge, MA","$3,400 3 bds$3,600 4 bds"
"1172 Massachusetts Ave, Cambridge, MA","$1,600 Studio$1,999 1 bd"
"144 Thorndike St #2, Cambridge, MA 02141","$2,400/mo
2 bds1 ba-- sqft"
"159 Erie St #A, Cambridge, MA 02139","$2,200/mo
1 bd1 ba600 sqft"
"442 Cambridge St #1, Cambridge, MA 02141","$1,600/mo
1 bd1 ba500 sqft"
"891 Massachusetts Ave, Cambridge, MA","$2,000+ 2 bds"
"30 Norfolk St #3, Cambridge, MA 02139","$3,400/mo
4 bds1 ba1,200 sqft"
"70 Mount Vernon St #1, Cambridge, MA 02140","$2,000/mo
1 bd1 ba700 sqft"
"228 Allston St #1, Cambridge, MA 02139","$2,950/mo
3 bds1.5 ba1,250 sqft"
"147 Columbia St APT 2L, Cambridge, MA 02139","$2,400/mo
4 bds1 ba999 sqft"
"37 Porter St #2, Cambridge, MA 02141","$2,600/mo
2 bds1 ba760 sqft"
"26 Andrew St, Cambridge, MA 02139","$2,500/mo
2 bds1 ba1,120 sqft"
"77 Francis Ave #77, Cambridge, MA 02138","$4,000/mo
2 bds2 ba1,400 sqft"
"7 Maple Ave #1, Cambridge, MA 02139","$4,900/mo
3 bds2 ba1,660 sqft"
"Massachusetts Ave, Cambridge, MA 02139","$2,645/mo
1 bd1 ba-- sqft"
"220 Western Ave, Cambridge, MA","$2,500 2 bds$2,450 3 bds"
"218 Western Ave APT 1, Cambridge, MA 02139","$2,300/mo
2 bds1 ba700 sqft"
"19 Howard St #2, Cambridge, MA 02139","$2,900/mo
2 bds1 ba1,100 sqft"
"46 Irving St UNIT 2A, Cambridge, MA 02138","$2,300/mo
1 bd1 ba844 sqft"
"179 Prospect St #2F, Cambridge, MA 02139","$1,850/mo
Studio1 ba99,999 sqft"
"24 Cogswell Ave #3, Cambridge, MA 02140","$2,250/mo
2 bds1 ba99,999 sqft"
"1 Orchard St #3, Cambridge, MA 02140","$2,800/mo
2 bds1 ba9,999 sqft"
"5 Walden St, Cambridge, MA","$2,100+ 2 bds"
"9 Saint Paul St #3, Cambridge, MA 02139","$2,695/mo
1 bd1 ba600 sqft"
"12 Cottage St #SEC, Cambridge, MA 02139","$1,900/mo
2 bds1 ba800 sqft"
"29 Ware St #5, Cambridge, MA 02138","$1,750/mo
Studio1 ba99,999 sqft"
"59 Howard St #2, Cambridge, MA 02139","$2,900/mo
2 bds2 ba943 sqft"
"156 Gore St, Cambridge, MA 02141","$2,350/mo
2 bds1 ba-- sqft"
"Myrtle Ave, Cambridge, MA 02138","$3,500/mo
4 bds2 ba1,300 sqft"
"154 Gore St, Cambridge, MA","$2,200+ 2 bds"
"34 Gorham St #2, Cambridge, MA 02138","$3,600/mo
3 bds2 ba-- sqft"
"228 Western Ave #1, Cambridge, MA 02139","$2,300/mo
2 bds1 ba750 sqft"
"(undisclosed Address), Cambridge, MA 02139","$2,100/mo
2 bds1 ba-- sqft"
"Porter St, Cambridge, MA 02141","$2,000/mo
1 bd1 ba-- sqft"
"Harvard St, Cambridge, MA 02138","$1,850/mo
1 bd1 ba-- sqft"
"21 Marion St #1, Cambridge, MA 02141","$2,200/mo
1 bd1 ba-- sqft"
"14 Salem St #3, Cambridge, MA 02139","$2,600/mo
2 bds1 ba898 sqft"
"60 Lexington Ave #0, Cambridge, MA 02138","$4,000/mo
3 bds2 ba-- sqft"
"1234 Cambridge St #3L, Cambridge, MA 02139","$2,200/mo
2 bds1 ba900 sqft"
"22 Gurney St #0, Cambridge, MA 02138","$1,750/mo
Studio1 ba350 sqft"
"101 Hampshire St #3, Cambridge, MA 02139","$2,500/mo
1 bd1 ba640 sqft"
"6 Porter Rd, Cambridge, MA 02140","$3,000/mo
3 bds2 ba1,000 sqft"
"285 Harvard St, Cambridge, MA","$1,550+ Studio$1,850+ 1 bd$2,475 2 bds"
"1170 Massachusetts Ave APT 2, Cambridge, MA 02138","$1,950/mo
Studio1 ba328 sqft"
"292 Harvard St #155, Cambridge, MA 02139","$3,020/mo
3 bds1 ba1,000 sqft"
"7 Union St #1, Cambridge, MA 02139","$2,500/mo
2 bds1 ba999 sqft"
"Bishop Allen Dr, Cambridge, MA 02139","$2,750/mo
3 bds1 ba-- sqft"
"Columbia St, Cambridge, MA 02139","$2,000/mo
2 bds1 ba1,392 sqft"
"11 Everett St #5, Cambridge, MA 02138","$1,850/mo
1 bd1 ba-- sqft"
"23 Bellis Cir #23, Cambridge, MA 02140","$4,500/mo
2 bds2.5 ba1,096 sqft"
"279 Harvard St, Cambridge, MA","$1,700+ Studio"
"132 Oxford St, Cambridge, MA","$1,800 1 bd$2,000 2 bds"
"2222 Massachusetts Ave #15, Cambridge, MA 02140","$13,000/mo
15 bds6.5 ba5,070 sqft"
"11 Story St APT 2, Cambridge, MA 02138","$2,395/mo
1 bd1 ba650 sqft"
"27 Lambert St, Cambridge, MA","$2,100 1 bd$2,595 2 bds$2,700 3 bds"
"93 Kirkland St, Cambridge, MA","$2,600+ 2 bds"
"25 Beech St UNIT 2, Cambridge, MA 02140","$4,200/mo
2 bds2.5 ba1,568 sqft"
"Prescott St, Cambridge, MA 02138","$2,100/mo
1 bd1 ba600 sqft"
"84 Prescott St APT 47, Cambridge, MA 02138","$2,100/mo
1 bd1 ba538 sqft"
"119 Sciarappa St #3, Cambridge, MA 02141","$2,600/mo
3 bds1 ba1,350 sqft"
"303 Hurley St, Cambridge, MA","$2,950+ 4 bds$6,900 8 bds"
"40 Creighton St, Cambridge, MA","$2,500 2 bds$3,600 3 bds"
"48-50 Creighton St, Cambridge, MA 02140","$2,400/mo
3 bds1 ba3,017 sqft"
"4 Canal Park, Cambridge, MA","$2,300 1 bd$3,650 2 bds$4,300 3 bds"
"18 Centre St, Cambridge, MA","$1,900 Studio$1,900+ 1 bd"
"64 Homer Ave #210, Cambridge, MA 02138","$1,880/mo
2 bds1 ba850 sqft"
"11 William St #S, Cambridge, MA 02139","$2,000/mo
1 bd1 ba350 sqft"
"43 Allston St #1, Cambridge, MA 02139","$3,600/mo
3 bds1 ba1,151 sqft"
"310 Concord Ave #2, Cambridge, MA 02138","$3,800/mo
3 bds2 ba1,800 sqft"
"184 Otis St #3, Cambridge, MA 02141","$2,600/mo
3 bds1.5 ba1,058 sqft"
"Bowdoin St, Cambridge, MA 02138","$2,500/mo
2 bds1 ba960 sqft"
"12 Joy Singlefamil Singlefamil, Boston, MA 02114","$12,000/mo
4 bds4.5 ba2,986 sqft"
"173 Otis St #1, Cambridge, MA 02141","$1,950/mo
2 bds1 ba750 sqft"
"Thorndike St, Cambridge, MA 02141","$2,500/mo
2 bds1.5 ba920 sqft"
"454 Windsor St #2, Cambridge, MA 02141","$2,600/mo
2 bds1 ba1,170 sqft"
"1 Newport Rd APT 7, Cambridge, MA 02140","$2,950/mo
2 bds1 ba1,142 sqft"
"10 Forest St, Cambridge, MA","$3,090+ 1 bd"
"14 Griswold St #3, Cambridge, MA 02138","$1,700/mo
1 bd1 ba800 sqft"
"208 Charles St #208, Cambridge, MA 02141","$4,300/mo
3 bds2 ba1,318 sqft"
"54 Trowbridge St, Cambridge, MA 02138","$4,000/mo
3 bds2 ba1,546 sqft"
"15 Trowbridge St #18, Cambridge, MA 02138","$2,600/mo
1 bd1 ba640 sqft"
"Sargent St, Cambridge, MA 02140","$4,399/mo
4 bds2 ba1,247 sqft"
"4 Avon St APT 3, Cambridge, MA 02138","$2,600/mo
2 bds1 ba800 sqft"
"28 Vineyard St #28, Cambridge, MA 02138","$5,000/mo
5 bds3.5 ba1,792 sqft"
"351 Western Ave #1, Cambridge, MA 02139","$2,700/mo
2 bds1 ba1,200 sqft"
"109 Windsor St APT 6, Cambridge, MA 02139","$3,150/mo
3 bds1 ba-- sqft"
"41 Linnaean St, Cambridge, MA 02138","$3,000/mo
2 bds1 ba1,100 sqft"
"48 Berkshire St #2, Cambridge, MA 02141","$2,680/mo
3 bds1 ba1,200 sqft"
"25 Wheeler St UNIT 214, Cambridge, MA 02138","$2,400/mo
1 bd1 ba738 sqft"
"Prospect St, Cambridge, MA 02139","$1,750/mo
1 bd1 ba800 sqft"
"138 Hampshire St, Cambridge, MA 02139","$1,950/mo
2 bds1 ba-- sqft"
"Harvard St, Cambridge, MA 02139","$2,300/mo
2 bds1 ba-- sqft"
"CHR Cambridge Apartments, Brattle Arms - Various (BA2Z), Cambridge, MA 02138","$5,325/mo
2 bds1 ba1,236 sqft"
"1648 Massachusetts Ave #22A, Cambridge, MA 02138","$2,050/mo
1 bd1 ba500 sqft"
"Clarendon Ave, Somerville, MA 02144","$2,500/mo
2 bds1 ba-- sqft"
"20 John F Kennedy St, Cambridge, MA","$2,200+ 1 bd"
"CHR Cambridge Apartments, Brattle Arms - Various (BA2Z), Cambridge, MA 02138","$5,325/mo
2 bds1 ba1,236 sqft"
"1 Gray St APT 7, Cambridge, MA 02138","$2,395/mo
2 bds1 ba900 sqft"
"Clarendon Ave, Somerville, MA 02144","$2,500/mo
2 bds1 ba-- sqft"
"929 Mass | 929 Mass Ave, Cambridge, MA","$1,880+ Studio$1,955+ 1 bd$2,695+ 2 bds"
"332 Franklin St, Cambridge, MA","$3,200+ 2 bds"
"45 Tremont St, Cambridge, MA 02139","$4,400/mo
3 bds1.5 ba1,400 sqft"
"2192 Massachusetts Ave #C3, Cambridge, MA 02140","$1,600/mo
1 bd1 ba450 sqft"
"120 Columbia St #4, Cambridge, MA 02139","$2,700/mo
2 bds1 ba-- sqft"
"309 Columbia St UNIT 309, Cambridge, MA 02141","$3,390/mo
3 bds1.5 ba1,200 sqft"
"14 Centre Street | 14 Centre St, Cambridge, MA","$2,700+ 2 bds"
"3 Hancock Pl #2, Cambridge, MA 02139","$3,650/mo
2 bds2 ba1,370 sqft"
"Woodbridge St, Cambridge, MA 02140","$2,400/mo
2 bds1 ba-- sqft"
"(undisclosed Address), Cambridge, MA 02140","$2,400/mo
2 bds1 ba-- sqft"
"387 Huron Ave #1, Cambridge, MA 02138","$2,350/mo
2 bds2 ba1,000 sqft"
"43 7th St APT 2, Cambridge, MA 02141","$2,000/mo
2 bds1 ba900 sqft"
"556 Franklin St #1, Cambridge, MA 02139","$3,950/mo
2 bds2 ba910 sqft"
"1150 Cambridge St #3, Cambridge, MA 02139","$2,300/mo
1 bd1 ba-- sqft"
"154 Magazine St #33, Cambridge, MA 02139","$2,950/mo
3 bds2 ba1,100 sqft"
"287 Harvard St, Cambridge, MA","$1,950+ 1 bd$2,600+ 2 bds$3,600 3 bds"
"19 Trowbridge St, Cambridge, MA","$3,500 3 bds$3,800 4 bds"
"125 Spring St #2, Cambridge, MA 02141","$2,800/mo
3 bds1 ba1,400 sqft"
"31 Edward T Sullivan Rd #1, Cambridge, MA 02138","$2,100/mo
2 bds1 ba1,200 sqft"
"10 4th Street Pl, Cambridge, MA","$1,800 1 bd$1,800 2 bds"
"12 Murdock St #12, Cambridge, MA 02139","$2,800/mo
1 bd1 ba804 sqft"
"6 Oak St UNIT 6, Cambridge, MA 02139","$3,800/mo
3 bds1 ba1,200 sqft"
"115 5th St #115, Cambridge, MA 02141","$3,900/mo
3 bds2 ba1,500 sqft"
"345 Harvard St, Cambridge, MA","$2,400 1 bd$2,750+ 2 bds"
"203 Pemberton St UNIT 3, Cambridge, MA 02140","$3,100/mo
2 bds2 ba1,219 sqft"
"73 Spring St #2, Cambridge, MA 02141","$3,975/mo
3 bds2 ba1,664 sqft"
"2 Inman St #1A, Cambridge, MA 02139","$2,300/mo
1 bd1 ba500 sqft"
"361 Washington St, Cambridge, MA","$3,500+ 3 bds"
"Columbia St, Cambridge, MA 02141","$2,400/mo
2 bds1 ba-- sqft"
"Craigie Cir, Cambridge, MA 02138","$1,950/mo
1 bd1 ba600 sqft"
"70 Berkshire St #2, Cambridge, MA 02141","$3,300/mo
3 bds1.5 ba933 sqft"
"150 Cambridge St UNIT 108, Cambridge, MA 02141","$3,700/mo
2 bds2 ba1,129 sqft"
"75-83 Cambridge Pkwy, Cambridge, MA","$5,000+ 2 bds"
"23 Magee St, Cambridge, MA","$3,595+ 3 bds"
"105 Sciarappa St, Cambridge, MA","$1,800 1 bd$2,300 2 bds"
"168 Hampshire St APT 3C, Cambridge, MA 02139","$3,695/mo
2 bds2 ba1,389 sqft"
"137 2nd St #137, Cambridge, MA 02141","$5,500/mo
3 bds3 ba1,597 sqft"
"95 Moore St #2, Cambridge, MA 02139","$2,000/mo
2 bds1 ba780 sqft"
"4 Washington Ave, Cambridge, MA","$1,900+ 1 bd"
"Woodbridge St, Cambridge, MA 02140","$2,400/mo
2 bds1 ba-- sqft"
"2568 Massachusetts Ave, Cambridge, MA 02140","$3,500/mo
4 bds2 ba1,389 sqft"
"177 Lake View Ave #2, Cambridge, MA 02138","$2,300/mo
2 bds1 ba1,200 sqft"
"18 Dudley St, Cambridge, MA","$2,400 2 bds$2,900 3 bds"
"235 Brookline St #1, Cambridge, MA 02139","$2,100/mo
1 bd1 ba850 sqft"
"25 Marney St #25, Cambridge, MA 02141","$3,000/mo
4 bds1 ba-- sqft"
"2 Beech St, Cambridge, MA","$1,900+ 1 bd$2,600 2 bds"
"262 Pearl St #1, Cambridge, MA 02139","$2,600/mo
3 bds1 ba1,300 sqft"
"515 Putnam Ave APT 5, Cambridge, MA 02139","$3,600/mo
3 bds1 ba1,054 sqft"
"10 Essex St, Cambridge, MA","$2,500 Studio$3,200 1 bd$5,200 2 bds"
"66 Oxford St UNIT 2, Cambridge, MA 02138","$4,000/mo
2 bds2 ba1,092 sqft"
"(undisclosed Address), Cambridge, MA 02139","$2,245/mo
1 bd1 ba400 sqft"
"Massachusetts Ave, Cambridge, MA 02139","$1,965/mo
1 bd1 ba-- sqft"
"39 Sciarappa St #1, Cambridge, MA 02141","$2,700/mo
3 bds1 ba1,100 sqft"
"124 Oxford St, Cambridge, MA","$3,000 2 bds$3,000 3 bds"
"31 Blanchard Rd #1, Cambridge, MA 02138","$2,700/mo
2 bds2 ba1,050 sqft"
"5 Haskell St, Cambridge, MA","$1,550 Studio$1,550 1 bd"
"74 6th St #1, Cambridge, MA 02141","$1,950/mo
2 bds1 ba845 sqft"
"Richard Ave, Cambridge, MA 02140","$2,500/mo
3 bds1 ba-- sqft"
"Massachusetts Ave, Cambridge, MA 02139","$2,200/mo
2 bds1 ba-- sqft"
"Massachusetts Ave, Cambridge, MA 02139","$2,200/mo
2 bds1 ba577 sqft"
"22 Magazine St APT 6, Cambridge, MA 02139","$5,400/mo
4 bds2 ba1,325 sqft"
"8 Mullins Ct #1, Cambridge, MA 02141","$2,200/mo
2 bds1 ba700 sqft"
"101 Jackson St #3, Cambridge, MA 02140","$2,900/mo
3 bds2 ba1,400 sqft"
"30 Foster St, Cambridge, MA 02138","$2,800/mo
4 bds1.5 ba1,500 sqft"
"93 Prospect St APT 2B, Cambridge, MA 02139","$2,150/mo
1 bd1 ba410 sqft"
"28 Berkshire St #1, Cambridge, MA 02141","$4,500/mo
3 bds2 ba1,351 sqft"
"12 Ellery St APT 106, Cambridge, MA 02138","$2,200/mo
2 bds2 ba868 sqft"
"1247 Cambridge St E #2, Cambridge, MA 02139","$3,300/mo
3 bds2 ba1,188 sqft"
"Prospect St, Cambridge, MA 02139","$1,950/mo
2 bds1 ba-- sqft"
"9 Cottage St APT 2, Cambridge, MA 02139","$1,975/mo
1 bd1 ba650 sqft"
"284 Harvard St, Cambridge, MA","$1,800 Studio$2,250 1 bd"
"8 Museum Way FLOOR 16, Cambridge, MA 02141","$2,850/mo
2 bds2 ba1,050 sqft"
"64 Fulkerson St #2, Cambridge, MA 02141","$2,150/mo
2 bds1 ba800 sqft"
"76 Normandy Ave, Cambridge, MA 02138","$2,200/mo
2 bds1 ba1,100 sqft"
"84 Willow St #3, Cambridge, MA 02141","$2,200/mo
2 bds1 ba715 sqft"
"850 Massachusetts Ave, Cambridge, MA","$2,300+ 1 bd"
"(undisclosed Address), Cambridge, MA 02138","$1,700/mo
1 bd1 ba-- sqft"
"2 Chestnut St PH 53, Cambridge, MA 02139","$2,625/mo
1 bd1 ba822 sqft"
"Craigie Cir, Cambridge, MA 02138","$1,900/mo
1 bd1 ba-- sqft"
"Prospect St, Cambridge, MA 02139","$1,950/mo
2 bds1 ba-- sqft"
"Pearl St, Cambridge, MA 02139","$1,650/mo
1 bd1 ba-- sqft"
"12 Andrew St #2, Cambridge, MA 02139","$3,300/mo
3 bds1 ba1,200 sqft"
"3 Crawford St, Cambridge, MA","$1,800+ 1 bd"
"113 Hampshire St APT 3, Cambridge, MA 02139","$2,300/mo
3 bds1 ba850 sqft"
"388 Prospect St #2, Cambridge, MA 02139","$3,400/mo
5 bds1 ba-- sqft"
"11 Holly Ave #2, Cambridge, MA 02138","$3,200/mo
2 bds1 ba1,280 sqft"
"4 Bates St #1, Cambridge, MA 02140","$4,400/mo
3 bds1 ba2,500 sqft"
"249 Hurley St #2R, Cambridge, MA 02141","$2,600/mo
2 bds1 ba-- sqft"
"4 Chauncy St, Cambridge, MA 02138","$3,000/mo
2 bds2 ba1,200 sqft"
"84 Ellery St #1, Cambridge, MA 02138","$1,900/mo
1 bd1 ba9,999 sqft"
"20 Mcternan St #302F, Cambridge, MA 02139","$3,200/mo
2 bds1 ba1,037 sqft"
"29 Bigelow St #3, Cambridge, MA 02139","$3,800/mo
2 bds1.5 ba1,500 sqft"
"21 Rockwell St #0, Cambridge, MA 02139","$2,800/mo
2 bds1 ba1,100 sqft"
"51 Museum St APT 2, Cambridge, MA 02138","$2,000/mo
1 bd1 ba707 sqft"
"295 Concord Ave #2, Cambridge, MA 02138","$4,000/mo
3 bds2 ba1,646 sqft"
"249 Hurley St #2F, Cambridge, MA 02141","$1,800/mo
1 bd1 ba-- sqft"
"7 Harding St #1, Cambridge, MA 02141","$1,900/mo
2 bds1 ba700 sqft"
"9 Clary St, Cambridge, MA","$4,200+ 3 bds"
"42 Linnaean St, Cambridge, MA","$1,950+ 1 bd"
"5 Marcella St #1, Cambridge, MA 02141","$2,650/mo
2 bds1 ba650 sqft"
"12 Merrill St #3, Cambridge, MA 02139","$3,500/mo
3 bds1 ba9,999 sqft"
"1617 Massachusetts Ave #18, Cambridge, MA 02138","$1,900/mo
1 bd1 ba846 sqft"
"5 Lee St #15, Cambridge, MA 02139","$16,250/mo
15 bds15 ba5,532 sqft"
"351 Walden St #1, Cambridge, MA 02138","$4,000/mo
3 bds2.5 ba2,155 sqft"
"38 Fainwood Cir #1, Cambridge, MA 02139","$4,700/mo
4 bds2 ba1,300 sqft"
"212 Norfolk St #1, Cambridge, MA 02139","$2,500/mo
2 bds1 ba1,100 sqft"
"128 Magazine St APT 4, Cambridge, MA 02139","$2,375/mo
2 bds1 ba9,999 sqft"
"1 Gray St, Cambridge, MA","$2,195 1 bd$2,395 2 bds"
"3 Marney St, Cambridge, MA","$3,000+ 2 bds"
"Cambridge St, Cambridge, MA 02141","$3,000/mo
3 bds1 ba-- sqft"
"43 Linnaean St APT 1A, Cambridge, MA 02138","$2,480/mo
2 bds1 ba887 sqft"
"7 Milton St, Cambridge, MA 02140","$2,900/mo
3 bds2 ba1,200 sqft"
"165 Hampshire St APT 6, Cambridge, MA 02139","$2,800/mo
2 bds2 ba775 sqft"
"5 Rindgefield St #1, Cambridge, MA 02140","$2,400/mo
2 bds1 ba950 sqft"
"Marney St, Cambridge, MA 02141","$3,295/mo
2 bds1.5 ba800 sqft"
"122 Trowbridge St #1, Cambridge, MA 02138","$2,800/mo
2 bds1 ba948 sqft"
"89 Trowbridge St #2F, Cambridge, MA 02138","$2,000/mo
1 bd1 ba-- sqft"
"329 Harvard St, Cambridge, MA","$2,500 1 bd$2,500+ 2 bds"
"127 Fayerweather St #1, Cambridge, MA 02138","$3,100/mo
2 bds1 ba1,056 sqft"
"21 Winter St #10, Cambridge, MA 02141","$850/mo
1 bd1 ba-- sqft"
"322-5 Western Ave, Cambridge, MA","$2,700 1 bd$3,600+ 3 bds"
"29 Otis St UNIT 306, Cambridge, MA 02141","$3,000/mo
2 bds2 ba1,060 sqft"
"22 3rd St #1, Cambridge, MA 02141","$2,400/mo
3 bds1 ba990 sqft"
"1 Jay St, Cambridge, MA","$1,995 1 bd$3,600 3 bds"
"47 Inman St, Cambridge, MA","$1,900+ 1 bd"
"181 Rindge Ave #2R, Cambridge, MA 02140","$4,250/mo
5 bds2 ba-- sqft"
