Addresses,Prices
"17 Healey St, Cambridge, MA 02138","$1,500/mo
Studio1 ba525 sqft"
"603 Concord | 603 Concord Ave, Cambridge, MA","$2,246+ Studio$2,495+ 1 bd$3,438+ 2 bds"
"Charles Passage | 110 2nd St, Cambridge, MA","$3,450+ 2 bds$4,250+ 3 bds"
"229 Hurley St #1, Cambridge, MA 02141","$2,650/mo
2 bds1 ba686 sqft"
"93 Moore St #1, Cambridge, MA 02139","$2,200/mo
2 bds1 ba775 sqft"
"291 Elm St #2, Cambridge, MA 02139","$2,200/mo
2 bds1 ba800 sqft"
"6 Canal Park, Cambridge, MA","$2,500+ 1 bd$3,500+ 2 bds"
"1580 Massachusetts Ave, Cambridge, MA","$2,800+ 2 bds"
"23 Ware St, Cambridge, MA","$1,700+ Studio"
"177 Erie St, Cambridge, MA","$2,200 2 bds$2,400 3 bds"
"27 Putnam Ave APT 2, Cambridge, MA 02139","$2,500/mo
2 bds1 ba-- sqft"
"Parkside Place | 700 Huron Ave, Cambridge, MA","$2,012+ 1 bd$1,829+ 2 bds$3,461 3 bds"
"2 Ware St, Cambridge, MA","$1,650 Studio$1,900+ 1 bd$2,000 2 bds"
"138-140 Huron Ave UNIT 10, Cambridge, MA 02138","$2,200/mo
2 bds1 ba724 sqft"
"Atmark Cambridge | 80 Fawcett St, Cambridge, MA","$2,190+ Studio$2,110+ 1 bd$2,996+ 2 bds"
"1 Aberdeen Way, Cambridge, MA","$2,700 1 bd$3,500 2 bds"
"Longfellow Apartments | 1200 Massachusetts Ave, Cambridge, MA","$1,350+ Studio$1,700+ 1 bd$2,225+ 2 bds"
"Luxe at Alewife | 80 Cambridgepark Dr, Cambridge, MA","$2,232+ Studio$2,382+ 1 bd$2,552+ 2 bds"
"21 Chauncy St, Cambridge, MA","$1,700+ 1 bd"
"1 Dana St APT 2B, Cambridge, MA 02138","$1,600/mo
1 bd1 ba450 sqft"
"2353 Massachusetts Ave, Cambridge, MA","$2,050+ 2 bds"
"Davenport Apartments | 345 Franklin St, Cambridge, MA","$2,800 1 bd$2,750+ 2 bds"
"Homer Apartments | 66 Homer Ave, Cambridge, MA","$1,350+ Studio$1,600+ 1 bd$1,900+ 2 bds"
"223 Broadway, Cambridge, MA","$1,900+ 1 bd"
"2 Earhart St, Cambridge, MA","$2,200+ 1 bd$2,850+ 2 bds$3,400 3 bds"
"212 Hampshire St, Cambridge, MA","$2,500+ 1 bd"
"993 Memorial Dr, Cambridge, MA","$3,875+ 2 bds"
"367 Harvard St, Cambridge, MA","$6,900+ 5 bds"
"46 Gold Star Rd #1, Cambridge, MA 02140","$2,400/mo
2 bds1 ba900 sqft"
"7 Richard Ave, Cambridge, MA","$2,400+ 3 bds"
"5 Locke St #3C, Cambridge, MA 02140","$2,400/mo
2 bds2 ba950 sqft"
"40-42 Warren St #1, Cambridge, MA 02141","$1,800/mo
1 bd1 ba525 sqft"
"119 Sciarappa St #C, Cambridge, MA 02141","$2,600/mo
3 bds1 ba1,350 sqft"
